conversion_lag_bucket,lag_number,distance_to_previous_lag
LESS_THAN_ONE_DAY,1,1
ONE_TO_TWO_DAYS,2,1
TWENTY_ONE_TO_THIRTY_DAYS,30,9
FOURTEEN_TO_TWENTY_ONE_DAYS,21,7
THIRTY_TO_FORTY_FIVE_DAYS,45,15
FORTY_FIVE_TO_SIXTY_DAYS,60,15
TWO_TO_THREE_DAYS,3,1
SIXTY_TO_NINETY_DAYS,90,30
THREE_TO_FOUR_DAYS,4,1
FOUR_TO_FIVE_DAYS,5,1
FIVE_TO_SIX_DAYS,6,1
SIX_TO_SEVEN_DAYS,7,1
SEVEN_TO_EIGHT_DAYS,8,1
EIGHT_TO_NINE_DAYS,9,1
NINE_TO_TEN_DAYS,10,1
TEN_TO_ELEVEN_DAYS,11,1
ELEVEN_TO_TWELVE_DAYS,12,1
THIRTEEN_TO_FOURTEEN_DAYS,14,1
TWELVE_TO_THIRTEEN_DAYS,13,1
